timestamp,equity,benchmark_equity,close
2023-06-10,10000.0,10000.0,15.61
2023-06-11,10000.0,9961.563100576555,15.55
2023-06-12,10000.0,9730.941704035875,15.19
2023-06-13,10000.0,9634.849455477259,15.04
2023-06-14,10000.0,9276.105060858425,14.48
2023-06-15,10000.0,9461.883408071748,14.77
2023-06-16,10000.0,9807.815502882768,15.31
2023-06-17,10000.0,10019.218449711725,15.64
2023-06-18,10000.0,9897.501601537477,15.45
2023-06-19,10000.0,10313.90134529148,16.1
2023-06-20,10000.0,10659.8334401025,16.64
2023-06-21,10000.0,11037.796284433058,17.23
2023-06-22,10000.0,10647.021140294684,16.62
2023-06-23,10000.0,10973.734785393977,17.13
2023-06-24,10000.0,10659.8334401025,16.64
2023-06-25,10000.0,10864.830237027547,16.96
2023-06-26,10000.0,10422.805893657911,16.27
2023-06-27,10000.0,10653.42729019859,16.63
2023-06-28,10000.0,10230.62139654068,15.97
2023-06-29,10000.0,11524.663677130045,17.99
2023-06-30,10000.0,12081.998718770019,18.86
2023-07-01,9915.164369034994,11979.500320307494,18.7
2023-07-02,10312.831389183457,12459.961563100576,19.45
2023-07-03,10212.089077412515,12338.24471492633,19.26
2023-07-04,10143.160127253446,12254.96476617553,19.13
2023-07-05,10074.23117709438,12171.684817424728,19.0
2023-07-06,10397.66702014846,12562.459961563101,19.61
2023-07-07,11399.787910922585,13773.222293401666,21.5
2023-07-08,11564.156945917282,13971.812940422806,21.81
2023-07-09,11304.347826086956,13657.911595131327,21.32
2023-07-10,11293.74337221633,13645.09929532351,21.3
2023-07-11,11702.014846235415,14138.37283792441,22.07
2023-07-12,11633.085896076349,14055.092889173608,21.94
2023-07-13,13791.092258748671,16662.39590006406,26.01
2023-07-14,14141.03923647932,17085.201793721975,26.67
2023-07-15,14559.915164369033,17591.287636130684,27.46
2023-07-16,14538.706256627782,17565.663036515056,27.42
2023-07-17,14209.968186638387,17168.481742472773,26.8
2023-07-18,13541.887592788971,16361.306854580398,25.54
2023-07-19,13950.159066808057,16854.580397181293,26.31
2023-07-20,13457.051961823963,16258.808456117873,25.38
2023-07-21,13520.678685047716,16335.682254964768,25.5
2023-07-22,13001.060445387058,15707.879564381807,24.52
2023-07-23,13128.313891834567,15861.627162075592,24.76
2023-07-24,12391.304347826084,14971.172325432415,23.37
2023-07-25,12338.282078472956,14907.110826393337,23.27
2023-07-26,13345.705196182393,16124.279308135812,25.17
2023-07-27,13308.589607635204,16079.436258808457,25.1
2023-07-28,13160.127253446442,15900.064061499039,24.82
2023-07-29,13345.705196182393,16124.279308135812,25.17
2023-07-30,12857.900318133612,15534.9135169763,24.25
2023-07-31,12582.184517497346,15201.793721973096,23.73
2023-08-01,12751.855779427355,15406.790518898144,24.05
2023-08-02,12274.655355249197,14830.237027546445,23.15
2023-08-03,12009.544008483557,14509.929532351056,22.65
2023-08-04,12089.07741251325,14606.021780909676,22.8
2023-08-05,12009.544008483557,14509.929532351056,22.65
2023-08-06,12301.166489925763,14862.267777065983,23.2
2023-08-07,12258.748674443263,14811.018577834722,23.12
2023-08-08,12841.993637327674,15515.695067264574,24.22
2023-08-09,12926.829268292679,15618.193465727098,24.38
2023-08-10,13054.082714740189,15771.941063420885,24.62
2023-08-11,13054.082714740189,15771.941063420885,24.62
2023-08-12,13207.847295864261,15957.71941063421,24.91
2023-08-13,12847.29586426299,15522.101217168483,24.23
2023-08-14,13351.007423117706,16130.685458039718,25.18
2023-08-15,12672.322375397664,15310.698270339526,23.9
2023-08-16,12099.68186638388,14618.834080717488,22.82
2023-08-17,11484.623541887591,13875.720691864191,21.66
2023-08-18,11314.952279957579,13670.723894939143,21.34
2023-08-19,11611.876988335098,14029.468289557975,21.9
2023-08-20,11542.948038176031,13946.188340807175,21.77
2023-08-21,11240.721102863201,13581.037796284434,21.2
2023-08-22,10917.285259809118,13190.26265214606,20.59
2023-08-23,11527.041357370093,13926.96989109545,21.74
2023-08-24,11166.489925768821,13491.351697629723,21.06
2023-08-25,10827.147401908802,13081.35810377963,20.42
2023-08-26,10758.218451749732,12998.078155028827,20.29
2023-08-27,11023.329798515373,13318.385650224216,20.79
2023-08-28,10901.378579003178,13171.044202434337,20.56
2023-08-29,11553.552492046658,13959.000640614991,21.79
2023-08-30,11039.236479321313,13337.60409993594,20.82
2023-08-31,10466.595970307526,12645.7399103139,19.74
2023-09-01,10249.2046659597,12383.087764253682,19.33
2023-09-02,10339.34252386002,12491.992312620116,19.5
2023-09-03,10339.34252386002,12536.83536194747,19.57
2023-09-04,10339.34252386002,12504.804612427932,19.52
2023-09-05,10339.34252386002,12978.859705317105,20.26
2023-09-06,10339.34252386002,12581.678411274823,19.64
2023-09-07,10339.34252386002,12761.050608584243,19.92
2023-09-08,10339.34252386002,12562.459961563101,19.61
2023-09-09,10339.34252386002,12453.555413196671,19.44
2023-09-10,10339.34252386002,11684.817424727738,18.24
2023-09-11,10339.34252386002,11351.697629724535,17.72
2023-09-12,10339.34252386002,11479.820627802692,17.92
2023-09-13,10339.34252386002,11787.315823190263,18.4
2023-09-14,10339.34252386002,12075.592568866114,18.85
2023-09-15,10339.34252386002,12261.370916079437,19.14
2023-09-16,10339.34252386002,12248.55861627162,19.12
2023-09-17,10339.34252386002,12049.96796925048,18.81
2023-09-18,10339.34252386002,12581.678411274823,19.64
2023-09-19,10339.34252386002,12831.518257527228,20.03
2023-09-20,10339.34252386002,12998.078155028827,20.29
2023-09-21,10339.34252386002,12466.367713004485,19.46
2023-09-22,10339.34252386002,12447.14926329276,19.43
2023-09-23,10339.34252386002,12485.586162716207,19.49
2023-09-24,10339.34252386002,12402.306213965407,19.36
2023-09-25,10339.34252386002,12421.52466367713,19.39
2023-09-26,10339.34252386002,12190.903267136453,19.03
2023-09-27,10339.34252386002,12261.370916079437,19.14
2023-09-28,10339.34252386002,12786.675208199873,19.96
2023-09-29,10339.34252386002,12991.672005124921,20.28
2023-09-30,10339.34252386002,13689.942344650864,21.37
2023-10-01,10339.34252386002,15291.479820627805,23.87
2023-10-02,10339.34252386002,14971.172325432415,23.37
2023-10-03,10339.34252386002,15118.513773222296,23.6
2023-10-04,10339.34252386002,14817.424727738628,23.13
2023-10-05,10339.34252386002,14541.960281870597,22.7
2023-10-06,10339.34252386002,14996.796925048046,23.41
2023-10-07,10339.34252386002,14926.329276105062,23.3
2023-10-08,10339.34252386002,14875.080076873799,23.22
2023-10-09,10339.34252386002,14157.591287636133,22.1
2023-10-10,10339.34252386002,14163.99743754004,22.11
2023-10-11,10339.34252386002,14099.935938500963,22.01
2023-10-12,10339.34252386002,13632.286995515697,21.28
2023-10-13,10611.43048501423,13991.031390134529,21.84
2023-10-14,10689.169902486861,14093.529788597054,22.0
2023-10-15,10655.158907342586,14048.6867392697,21.93
2023-10-16,11636.61905293456,15342.729019859065,23.95
2023-10-17,11626.90162575048,15329.91672005125,23.93
2023-10-18,11379.10723255647,15003.203074951956,23.42
2023-10-19,12112.77298495443,15970.531710442025,24.93
2023-10-20,13133.102839282723,17315.823190262654,27.03
2023-10-21,14245.748251859763,18782.831518257528,29.32
2023-10-22,14114.562984874698,18609.86547085202,29.05
2023-10-23,15489.578931421871,20422.80589365791,31.88
2023-10-24,14658.73890718312,19327.354260089687,30.17
2023-10-25,15761.66689257608,20781.550288276747,32.44
2023-10-26,15922.004441113384,20992.953235105706,32.77
2023-10-27,15416.698227541277,20326.713645099295,31.73
2023-10-28,15368.111091620882,20262.65214606022,31.63
2023-10-29,15951.15672266562,21031.39013452915,32.83
2023-10-30,16976.345290585952,22383.087764253683,34.94
2023-10-31,18657.460193431612,24599.615631005767,38.4
2023-11-01,19993.60643124247,26361.306854580398,41.15
2023-11-02,19546.604780774836,25771.941063420883,40.23
2023-11-03,19167.62512059576,25272.26137091608,39.45
2023-11-04,20605.80434383944,27168.481742472773,42.41
2023-11-05,19993.606431242468,26361.306854580398,41.15
2023-11-06,20484.336504038456,27008.32799487508,42.16
2023-11-07,20858.457450625498,27501.60153747598,42.93
2023-11-08,20955.63172246629,27629.724535554138,43.13
2023-11-09,22005.113858346813,29013.452914798207,45.29
2023-11-10,27534.329926087743,36303.65150544523,56.67
2023-11-11,27373.99237755044,36092.24855861627,56.34
2023-11-12,27344.840095998203,36053.81165919283,56.28
2023-11-13,25070.962134923724,33055.733504163996,51.6
2023-11-14,27602.351916376294,36393.337604099936,56.81
2023-11-15,31790.56303271433,41915.43882126842,65.43
