timestamp,price,size,pnl
2023-06-30,18.86,1.0,-8.483563096500557
2023-09-02,19.5,-1.0,-3.5897435897436214
2023-10-12,21.28,1.0,26.31578947368407
2024-04-28,137.99,-1.0,1.5943184288716994
2024-05-29,168.32,1.0,-8.555133079847899
2024-06-18,137.41,-1.0,13.026708390946773
2024-07-24,178.06,1.0,-34.87588453330348
2024-08-17,141.93,-1.0,-3.4524061156906427
2024-10-11,145.53,1.0,5.978148835291686
2024-12-31,189.31,-1.0,-26.253235433944422
2025-01-24,253.37,1.0,11.998263409243481
2025-02-13,194.25,-1.0,-26.460746460746478
2025-05-02,148.05,1.0,-9.050996285038915
2025-06-22,131.71,-1.0,-97.18320552729476
2025-07-18,177.28,1.0,-1.8050541516244634
2025-10-22,180.12,-1.0,-62.34732400621801
2026-01-20,125.8,1.0,29.729729729729648
2026-01-30,117.59,-1.0,102.13453524959615
