timestamp,price,size,pnl
2025-10-01 04:00:00,114539.02,1.0,19.648849798086232
2025-10-11 12:00:00,111793.2,-1.0,5.500245095408252
2025-10-25 20:00:00,111646.27,1.0,-3.455646122346945
2025-10-31 20:00:00,109608.01,-1.0,-5.641558495588006
2025-11-28 16:00:00,91157.44,1.0,-2.9261462366648727
2025-12-08 12:00:00,89961.37,-1.0,-1.8131115611066395
2025-12-09 16:00:00,93800.83,1.0,-11.961834452850816
2025-12-14 08:00:00,89360.0,-1.0,3.7722694717994276
2025-12-27 20:00:00,87877.01,1.0,-1.5589970573646195
2026-01-01 12:00:00,88032.18,-1.0,-4.07771339980445
2026-01-01 20:00:00,88839.04,1.0,1.2563170425974324
2026-01-21 00:00:00,89432.33,-1.0,2.4418462540336527
2026-02-17 08:00:00,67854.6,1.0,-6.816781765716762
2026-02-17 20:00:00,67503.52,-1.0,-1.860495571193832
2026-03-03 08:00:00,67026.61,1.0,10.431677806769457
