timestamp,price,size,pnl
2023-06-30,1933.79,1.0,-4.8040376669648
2023-08-12,1849.93,-1.0,4.973161146638039
2023-10-30,1809.04,1.0,3.112147879538396
2024-04-24,3140.8,-1.0,-4.775853285787113
2024-05-29,3767.43,1.0,-5.181250879246591
2024-07-07,2931.0,-1.0,-30.02729443875807
2024-10-23,2524.61,1.0,4.440289787333462
2025-01-19,3215.12,-1.0,-21.423772674114883
2025-05-12,2495.47,1.0,73.82977956056381
2025-10-11,3746.79,-1.0,-108.22597476773454
2026-01-17,3310.56,1.0,-8.013749939587145
2026-02-01,2270.15,-1.0,-33.86119859921144
