timestamp,equity,benchmark_equity,close
2023-06-10,10000.0,10000.0,15.61
2023-06-11,10000.0,9961.563100576555,15.55
2023-06-12,9955.421453012974,9730.941704035875,15.19
2023-06-13,9857.112485405867,9634.849455477259,15.04
2023-06-14,9490.09233967267,9276.105060858425,14.48
2023-06-15,9680.156343713075,9461.883408071748,14.77
2023-06-16,10034.06862709866,9807.815502882768,15.31
2023-06-17,9817.788898363024,10019.218449711725,15.64
2023-06-18,9937.058712345695,9897.501601537477,15.45
2023-06-19,9518.99475357387,10313.90134529148,16.1
2023-06-20,9199.724122087542,10659.8334401025,16.64
2023-06-21,8873.531980739484,11037.796284433058,17.23
2023-06-22,9187.684883133628,10647.021140294684,16.62
2023-06-23,8905.752314517618,10973.734785393977,17.13
2023-06-24,9160.499461868092,10659.8334401025,16.64
2023-06-25,8984.336010678322,10864.830237027547,16.96
2023-06-26,9349.854397905214,10422.805893657911,16.27
2023-06-27,9142.97378430682,10653.42729019859,16.63
2023-06-28,9505.833838284118,10230.62139654068,15.97
2023-06-29,9426.5299463041,11524.663677130045,17.99
2023-06-30,8970.661071746868,12081.998718770019,18.86
2023-07-01,9046.764240966353,11979.500320307494,18.7
2023-07-02,8683.926102959682,12459.961563100576,19.45
2023-07-03,8768.756229415329,12338.24471492633,19.26
2023-07-04,8827.943057547418,12254.96476617553,19.13
2023-07-05,8887.934306762323,12171.684817424728,19.0
2023-07-06,8602.58483691364,12562.459961563101,19.61
2023-07-07,7773.472886798047,13773.222293401666,21.5
2023-07-08,7661.390254476772,13971.812940422806,21.81
2023-07-09,7833.516858084916,13657.911595131327,21.32
2023-07-10,7840.865372961169,13645.09929532351,21.3
2023-07-11,7557.416249149897,14138.37283792441,22.07
2023-07-12,7601.932067563556,14055.092889173608,21.94
2023-07-13,6191.728625677336,16662.39590006406,26.01
2023-07-14,6034.6144044952125,17085.201793721975,26.67
2023-07-15,5855.861296900491,17591.287636130684,27.46
2023-07-16,5864.391320639603,17565.663036515056,27.42
2023-07-17,5996.992437298849,17168.481742472773,26.8
2023-07-18,6278.940589201706,16361.306854580398,25.54
2023-07-19,6089.638151704238,16854.580397181293,26.31
2023-07-20,6304.893320122517,16258.808456117873,25.38
2023-07-21,6275.0829498146095,16335.682254964768,25.5
2023-07-22,6516.243000434937,15707.879564381807,24.52
2023-07-23,6452.462481670484,15861.627162075592,24.76
2023-07-24,6814.696845544552,14971.172325432415,23.37
2023-07-25,6843.85686627859,14907.110826393337,23.27
2023-07-26,6935.758556961785,16124.279308135812,25.17
2023-07-27,6955.04751599982,16079.436258808457,25.1
2023-07-28,7032.633703429299,15900.064061499039,24.82
2023-07-29,6933.462801084405,16124.279308135812,25.17
2023-07-30,7186.890920949231,15534.9135169763,24.25
2023-07-31,7043.656632199171,15201.793721973096,23.73
2023-08-01,7138.640623868102,15406.790518898144,24.05
2023-08-02,6871.498147299233,14830.237027546445,23.15
2023-08-03,6723.0856603165275,14509.929532351056,22.65
2023-08-04,6767.609406411339,14606.021780909676,22.8
2023-08-05,6723.085660316527,14509.929532351056,22.65
2023-08-06,6886.339395997503,14862.267777065983,23.2
2023-08-07,6862.593398080271,14811.018577834722,23.12
2023-08-08,7189.100869442221,15515.695067264574,24.22
2023-08-09,7234.978647171401,15618.193465727098,24.38
2023-08-10,7220.219738292033,15771.941063420885,24.62
2023-08-11,7220.219738292033,15771.941063420885,24.62
2023-08-12,7135.172470862924,15957.71941063421,24.91
2023-08-13,7329.950362480217,15522.101217168483,24.23
2023-08-14,7167.931464819204,16130.685458039718,25.18
2023-08-15,7532.306058741706,15310.698270339526,23.9
2023-08-16,7312.985092887931,14618.834080717488,22.82
2023-08-17,6941.247025063653,13875.720691864191,21.66
2023-08-18,6838.698592560405,13670.723894939143,21.34
2023-08-19,7018.15834944109,14029.468289557975,21.9
2023-08-20,6976.498048736645,13946.188340807175,21.77
2023-08-21,6793.833653340233,13581.037796284434,21.2
2023-08-22,6598.350703880914,13190.26265214606,20.59
2023-08-23,6966.884133189465,13926.96989109545,21.74
2023-08-24,6748.968714120062,13491.351697629723,21.06
2023-08-25,6543.871849113565,13081.35810377963,20.42
2023-08-26,6502.211548409119,12998.078155028827,20.29
2023-08-27,6662.443474195446,13318.385650224216,20.79
2023-08-28,6588.736788333735,13171.044202434337,20.56
2023-08-29,6982.9073257680975,13959.000640614991,21.79
2023-08-30,6672.057389742625,13337.60409993594,20.82
2023-08-31,6325.95643004416,12645.7399103139,19.74
2023-09-01,6194.566250899372,12383.087764253682,19.33
2023-09-02,6249.045105666724,12491.992312620116,19.5
2023-09-03,6271.47757527681,12536.83536194747,19.57
2023-09-04,6255.454382698178,12504.804612427932,19.52
2023-09-05,6492.597632861942,12978.859705317105,20.26
2023-09-06,6293.910044886897,12581.678411274823,19.64
2023-09-07,6383.6399233272405,12761.050608584243,19.92
2023-09-08,6284.2961293397175,12562.459961563101,19.61
2023-09-09,6229.817274572367,12453.555413196671,19.44
2023-09-10,5845.260652685182,11684.817424727738,18.24
2023-09-11,5678.619449867402,11351.697629724535,17.72
2023-09-12,5742.712220181934,11479.820627802692,17.92
2023-09-13,5896.534868936806,11787.315823190263,18.4
2023-09-14,6040.7436021445,12075.592568866114,18.85
2023-09-15,6133.678119100569,12261.370916079437,19.14
2023-09-16,6127.2688420691165,12248.55861627162,19.12
2023-09-17,6027.925048081594,12049.96796925048,18.81
2023-09-18,6293.910044886897,12581.678411274823,19.64
2023-09-19,6220.834275224795,12831.518257527228,20.03
2023-09-20,6140.084554228369,12998.078155028827,20.29
2023-09-21,6391.256076160825,12466.367713004485,19.46
2023-09-22,6391.847132715038,12447.14926329276,19.43
2023-09-23,6383.686687617077,12485.586162716207,19.49
2023-09-24,6426.266434635558,12402.306213965407,19.36
2023-09-25,6422.069626381914,12421.52466367713,19.39
2023-09-26,6489.319857523559,12190.903267136453,19.03
2023-09-27,6526.83037693121,12261.370916079437,19.14
2023-09-28,6677.585696006746,12786.675208199873,19.96
2023-09-29,6570.530213906437,12991.672005124921,20.28
2023-09-30,6217.3804144410515,13689.942344650864,21.37
2023-10-01,5490.031278451224,15291.479820627805,23.87
2023-10-02,5605.02983895502,14971.172325432415,23.37
2023-10-03,5549.866943663635,15118.513773222296,23.6
2023-10-04,5660.393954829818,14817.424727738628,23.13
2023-10-05,5765.623933237808,14541.960281870597,22.7
2023-10-06,5585.28944017178,14996.796925048046,23.41
2023-10-07,5611.53385872876,14926.329276105062,23.3
2023-10-08,5630.8009277716055,14875.080076873799,23.22
2023-10-09,5902.398560807962,14157.591287636133,22.1
2023-10-10,5899.727792228411,14163.99743754004,22.11
2023-10-11,5926.41131910416,14099.935938500963,22.01
2023-10-12,6122.971076621019,13632.286995515697,21.28
2023-10-13,6142.193457248312,13991.031390134529,21.84
2023-10-14,6097.195702982757,14093.529788597054,22.0
2023-10-15,6116.595871128612,14048.6867392697,21.93
2023-10-16,5553.188499506186,15342.729019859065,23.95
2023-10-17,5557.825817668613,15329.91672005125,23.93
2023-10-18,5676.275093348137,15003.203074951956,23.42
2023-10-19,5310.298347363693,15970.531710442025,24.93
2023-10-20,4862.980797044248,17315.823190262654,27.03
2023-10-21,4450.985753565472,18782.831518257528,29.32
2023-10-22,4491.973685129683,18609.86547085202,29.05
2023-10-23,4054.3734948055176,20422.80589365791,31.88
2023-10-24,4271.844595060142,19327.354260089687,30.17
2023-10-25,3950.429705077162,20781.550288276747,32.44
2023-10-26,3910.2434596186085,20992.953235105706,32.77
2023-10-27,4034.3402920264016,20326.713645099295,31.73
2023-10-28,4047.054884815644,20262.65214606022,31.63
2023-10-29,3893.5150219709153,21031.39013452915,32.83
2023-10-30,3643.2769258284043,22383.087764253683,34.94
2023-10-31,3282.494494135036,24599.615631005767,38.4
2023-11-01,3047.4200186435946,26361.306854580398,41.15
2023-11-02,3115.5518878331964,25771.941063420883,40.23
2023-11-03,3175.957815561506,25272.26137091608,39.45
2023-11-04,2937.660347017475,27168.481742472773,42.41
2023-11-05,3024.9381597324486,26361.306854580398,41.15
2023-11-06,2950.693018995395,27008.32799487508,42.16
2023-11-07,2896.8022783733254,27501.60153747598,42.93
2023-11-08,2883.3068100370883,27629.724535554138,43.13
2023-11-09,2738.907489154174,29013.452914798207,45.29
2023-11-10,2050.703311044779,36303.65150544523,56.67
2023-11-11,2062.6449396427106,36092.24855861627,56.34
2023-11-12,2064.841579621031,36053.81165919283,56.28
