timestamp,price,size,pnl
2023-06-11,15.55,0.1925545571245145,-4.457854698702597
2023-06-12,15.19,0.8074454428754855,-7.973457302917949
2023-06-16,15.31,-2.0,-43.10907903331174
2023-06-28,15.97,0.9340434653563328,118.14450845458919
2023-06-29,17.99,-0.9340434653563328,-45.17052889716567
2023-07-25,23.27,1.1644619234894558,95.07854123893289
2023-07-26,25.17,-1.1644619234894558,3.238471777682278
2023-07-30,24.25,1.9294249821264535,-41.373236730134245
2023-07-31,23.73,0.07057501787354636,0.9517069414047505
2023-08-08,24.22,-0.033989266547398644,-0.224536855804449
2023-08-09,24.38,-1.1732344494362303,-11.549477763113158
2023-08-10,24.62,-0.792776284016371,-0.0
2023-08-13,24.23,0.43623975374398727,17.10391110428339
2023-08-14,25.18,-0.43623975374398727,22.175809562839717
2023-08-15,23.9,1.644356682602389,-74.30565762387354
2023-08-16,22.82,0.355643317397611,-18.078275555706792
2023-09-18,19.64,-1.5846954888822458,-31.467985777193284
2023-09-19,20.03,-0.41530451111775424,-5.390872336026734
2023-09-21,19.46,0.9400119976004797,-1.4491449089422381
2023-09-22,19.43,-0.3534486901069307,-1.091452465590054
2023-09-23,19.49,-0.586563307493549,3.9124284235074644
2023-09-24,19.36,0.5785515139726345,0.8965157757840783
2023-09-25,19.39,-0.1425709629191529,2.6470111733313533
2023-09-26,19.03,1.5640194489465182,9.04057484940192
2023-09-27,19.14,-0.46086391685613237,-19.74443112967758
2023-09-28,19.96,-1.5391360831438676,-24.675528387076056
2023-10-12,21.28,1.1192967359630681,29.455177262185845
2023-10-13,21.84,-1.1192967359630681,-8.199976087641495
2024-01-06,93.77,2.0,-92.35363122533857
2024-01-08,97.88,-1.4202129706021882,-21.474409445149462
2024-01-09,99.36,-0.413215502967846,-10.979155875957217
2024-01-10,102.0,-0.16657152642996587,3.4294137794404613
2024-01-11,99.9,1.988627072028532,-154.87005626007996
2024-01-12,92.12,0.01137292797146805,0.4604974091790686
2024-01-17,102.1,-1.8349416281567343,138.38443228997886
2024-01-18,94.4,1.8349416281567343,-15.161593961464481
2024-01-27,94.28,-0.8786123850679891,-15.842607706996011
2024-01-28,95.98,-1.1213876149320108,-66.59626385822519
2024-02-21,105.03,1.0776951496028002,-33.55291953919024
2024-02-22,101.76,0.9223048503971997,-16.858166487212983
2024-02-26,109.9,-2.0,28.025477707006587
2024-04-02,181.53,0.5969330964249469,11.57497107594233
2024-04-03,185.05,-0.5969330964249469,3.3870832274855456
2024-04-04,184.0,0.9787092361145754,-51.22266273795301
2024-04-05,174.37,1.0212907638854245,25.24381024457298
2024-05-03,143.69,-0.010628707271275073,-0.17456850970985643
2024-05-04,146.05,-1.989371292728725,4.358773116557539
2024-05-08,142.18,1.4942742916130718,109.19615902278656
