timestamp,price,size,pnl
2025-10-01 20:00:00,22.58,1.0,4.871567759078932
2025-10-10 16:00:00,20.5,-1.0,155.609756097561
2025-10-26 20:00:00,18.55,1.0,21.56334231805923
2025-10-31 08:00:00,17.34,-1.0,3.4602076124566894
2025-11-12 16:00:00,15.09,1.0,3.9761431411531323
2025-11-12 20:00:00,15.15,-1.0,-25.742574257425765
2025-11-28 08:00:00,13.3,1.0,9.022556390977376
2025-12-01 16:00:00,11.84,-1.0,-19.425675675675656
2025-12-03 08:00:00,14.44,1.0,-2.7700831024930483
2025-12-14 08:00:00,13.56,-1.0,6.637168141592875
2025-12-30 00:00:00,12.39,1.0,-1.6142050040356404
2026-01-01 08:00:00,12.3,-1.0,-7.317073170731714
2026-01-02 04:00:00,12.84,1.0,7.788161993769416
2026-01-13 08:00:00,13.27,-1.0,-23.360964581763398
2026-01-13 12:00:00,13.58,1.0,8.100147275404979
2026-01-19 16:00:00,12.94,-1.0,4.636785162287382
2026-02-16 04:00:00,8.76,1.0,3.424657534246478
2026-02-20 08:00:00,8.63,-1.0,-23.174971031286073
2026-02-21 08:00:00,8.95,1.0,-1.1173184357541333
2026-02-24 00:00:00,8.21,-1.0,6.090133982947665
2026-02-27 04:00:00,9.17,1.0,-34.89640130861504
