timestamp,equity,benchmark_equity,close
2026-01-23 04:00:00,10000.0,10000.0,89965.42
2026-01-23 05:00:00,10000.0,9961.163967222074,89616.03
2026-01-23 06:00:00,9999.075667648878,9949.332754740655,89509.59
2026-01-23 07:00:00,9999.447830695111,9953.763345961148,89549.45
2026-01-23 08:00:00,9997.639515703495,9917.30600490722,89221.46
2026-01-23 09:00:00,9993.359343129434,9890.213373093795,88977.72
2026-01-23 10:00:00,9995.07050336765,9897.857421218065,89046.49
2026-01-23 11:00:00,9997.935962686981,9915.196305424906,89202.48
2026-01-23 12:00:00,9998.53774828541,9922.460207488612,89267.83
2026-01-23 13:00:00,9998.974985895282,9931.683751379142,89350.81
2026-01-23 14:00:00,9998.64281660804,9894.673975845388,89017.85
2026-01-23 15:00:00,10010.641933502904,9977.34574017439,89761.61
2026-01-23 16:00:00,10003.612394089023,10017.721253343785,90124.85
2026-01-23 17:00:00,9987.260670499443,10070.535990383862,90600.0
2026-01-23 18:00:00,9990.327398886346,10062.805242280869,90530.45
2026-01-23 19:00:00,10014.501818446945,10001.930741833918,89982.79
2026-01-23 20:00:00,10023.427405965462,9948.675835671082,89503.68
2026-01-23 21:00:00,10022.674435637544,9931.59260524766,89349.99
2026-01-23 22:00:00,10025.943851845397,9962.11766698805,89624.61
2026-01-23 23:00:00,10025.986384988792,9959.41107149836,89600.26
2026-01-24 00:00:00,10026.060714122055,9943.023663981117,89452.83
2026-01-24 01:00:00,10026.698352034487,9953.851157478062,89550.24
2026-01-24 02:00:00,10026.941520547341,9970.814341777097,89702.85
2026-01-24 03:00:00,10026.554357779798,9978.28054379116,89770.02
2026-01-24 04:00:00,10026.036476622565,9984.875299865216,89829.35
2026-01-24 05:00:00,10024.26671682076,9978.856320572948,89775.2
2026-01-24 06:00:00,10019.769354536584,9964.864277852535,89649.32
2026-01-24 07:00:00,10018.532375334446,9961.61636326491,89620.1
2026-01-24 08:00:00,10020.324535247768,9966.14921599877,89660.88
