timestamp,price,size,pnl
2023-06-30,6.313,1.0,30.096626009820994
2023-08-29,6.194,-1.0,43.42912495963836
2023-10-01,8.054,1.0,-72.5105537621058
2024-01-21,15.396,-1.0,51.8316445830086
2024-01-31,15.429,1.0,114.13571845226534
2024-04-07,17.913,-1.0,-10.495171104784262
2024-04-08,18.101,1.0,-40.82647367548764
2024-04-09,17.362,-1.0,-3.1678378067043766
2024-05-31,18.414,1.0,1.5748886716628885
2024-06-23,13.194,-1.0,-32.06002728512969
2024-10-04,11.08,1.0,17.148014440433236
2025-02-09,18.26,-1.0,-30.120481927710774
2025-05-08,15.88,1.0,8.186397984886629
2025-06-14,13.15,-1.0,-11.406844106463865
2025-07-18,17.83,1.0,31.407739764442113
2025-10-10,17.31,-1.0,6.354708261120723
