timestamp,price,size,pnl
2026-01-24 09:00:00,127.09,1.0,0.786843968840989
2026-01-24 13:00:00,126.94,-1.0,-1.7331022530329143
2026-01-27 19:00:00,125.85,1.0,11.998410806515647
2026-01-29 09:00:00,123.03,-1.0,-1.463057790782596
2026-02-07 19:00:00,88.3,1.0,6.908267270668178
2026-02-09 13:00:00,83.77,-1.0,-14.205562850662545
2026-02-13 20:00:00,84.77,1.0,1.0616963548426561
2026-02-16 13:00:00,84.17,-1.0,1.4256861114412267
2026-02-20 15:00:00,84.38,1.0,1.5406494429961448
2026-02-22 23:00:00,82.79,-1.0,17.151829931151163
2026-02-25 11:00:00,83.39,1.0,3.4776352080585493
2026-02-27 21:00:00,81.2,-1.0,-2.8325123152710407
2026-03-01 08:00:00,85.22,1.0,-2.581553625909394
2026-03-03 22:00:00,86.29,-1.0,-7.880403291227189
2026-03-04 06:00:00,85.6,1.0,21.37850467289737
