timestamp,price,size,pnl
2023-06-30,30472.0,1.0,3.737857705434555
2023-08-16,28730.51,-1.0,73.34015302895769
2023-10-16,28500.78,1.0,-3.679548419376566
2024-02-06,43098.95,-1.0,-29.018108329785353
2024-02-07,44349.6,1.0,21.173809910348673
2024-05-02,59060.61,-1.0,-64.70302287768459
2024-05-29,67652.42,1.0,10.34331070492378
2024-06-27,61706.47,-1.0,20.721165868020087
2024-07-31,64628.0,1.0,11.233830537847433
2024-08-06,56022.01,-1.0,15.848235363208119
2024-09-28,65858.0,1.0,-3.8869993015275828
2025-02-16,96118.12,-1.0,3.5177550289164916
2025-04-29,94256.82,1.0,-0.8998818334843284
2025-09-03,111705.71,-1.0,8.726859173089796
2025-10-04,122391.0,1.0,8.916587003946264
2025-10-23,110078.18,-1.0,-8.418652997351561
2026-01-20,88427.66,1.0,11.61480468893994
2026-02-01,76968.21,-1.0,-23.001704210088736
